observed_on,time_observed_at,quality_grade,latitude,longitude,positional_accuracy,private_latitude,private_longitude,public_positional_accuracy,scientific_name,common_name
2014-08-17,2014-08-17 21:02:25 UTC,research,39.399508,-120.188563,25,,,25,Odocoileus hemionus,Mule Deer
2013-01-21,2013-01-21 21:45:48 UTC,research,35.297,-120.6766666667,,,,,Canis latrans,Coyote
2014-08-23,2014-08-24 01:38:58 UTC,research,35.397451,-120.184186,5,,,5,Sus scrofa,Eurasian Wild Pig
2014-09-05,2014-09-05 20:23:33 UTC,research,35.35139953,-119.97679615,6,,,6,Canis latrans,Coyote
2014-09-06,,research,39.07047,-122.536956,114,,,114,Dipodomys californicus,California Kangaroo Rat
2014-08-15,2014-08-15 20:45:11 UTC,research,34.082327,-118.685776,10,,,10,Sciurus griseus,Western Gray Squirrel
2014-09-13,2014-09-13 15:36:18 UTC,research,38.6124416667,-122.7809533333,,,,,Pituophis catenifer catenifer,Pacific Gopher Snake
2009-12-02,2009-12-02 19:28:23 UTC,research,40.642875,-124.256372,,,,,Mephitis mephitis,Striped Skunk
2009-12-02,2009-12-02 17:18:59 UTC,research,40.7030675677,-124.3411495699,,,,27908,Thamnophis sirtalis infernalis,California Red-sided Garter Snake
2014-05-16,2014-05-17 02:11:08 UTC,needs_id,40.9025580556,-124.0826775,,,,,Noctuoidea,Owlet Moths and Allies
2014-10-30,,research,38.057322,-121.356735,26,,,26,Sciurus carolinensis,Eastern Gray Squirrel
2013-08-03,2013-08-03 19:15:13 UTC,research,33.610747182,-116.6593093435,,,,28930,Lampropeltis multifasciata,Coast Mountain Kingsnake
2013-08-01,2013-07-31 23:21:48 UTC,research,33.762333,-116.696333,,,,,Sciurus griseus,Western Gray Squirrel
2014-11-16,2014-11-16 18:34:56 UTC,research,32.554109,-116.961378,97,,,97,Didelphis virginiana,Virginia Opossum
2011-03-06,2011-03-07 05:01:29 UTC,research,,,8294,,,28359,Dipodomys heermanni,Heermann's Kangaroo Rat
2014-11-21,2014-11-21 18:09:41 UTC,research,33.1255916667,-115.4695883333,,,,,Mephitis mephitis,Striped Skunk
2014-11-24,2014-11-24 18:11:18 UTC,research,32.668956,-116.825465,,,,,Pituophis catenifer annectens,San Diego Gopher Snake
2014-11-26,2014-11-26 21:35:17 UTC,research,38.85707489,-122.75049418,5,,,5,Sciurus griseus,Western Gray Squirrel
2014-11-28,2014-11-28 21:04:07 UTC,research,38.118,-122.6658333333,,,,,Zonotrichia atricapilla,Golden-crowned Sparrow
2014-04-28,2014-04-28 20:02:00 UTC,research,34.0035585598,-117.8648884829,130,,,28874,Taricha torosa,California Newt
2014-12-12,2014-12-13 05:39:11 UTC,research,37.7109152052,-121.4130175751,,,,28359,Ambystoma californiense,California Tiger Salamander
2011-05-10,,research,33.774461,-118.095852,4,,,4,Pituophis catenifer annectens,San Diego Gopher Snake
2014-12-25,2014-12-25 16:42:09 UTC,research,41.804237,-124.140878,500,,,500,Canis latrans,Coyote
2015-01-01,2015-01-01 15:45:20 UTC,research,32.83877,-116.991248,4,,,4,Mephitis mephitis,Striped Skunk
2014-12-02,,research,34.18072,-117.67752,10,,,10,Pseudacris cadaverina,California Tree Frog
2015-01-13,,research,38.571429,-121.746784,4,,,4,Didelphis virginiana,Virginia Opossum
2015-01-15,2015-01-16 02:47:07 UTC,research,33.9983633333,-118.36522,3,,,3,Mephitis mephitis,Striped Skunk
2015-02-10,2015-02-10 18:17:15 UTC,research,34.115607,-118.274148,5,,,5,Mus musculus,House Mouse
2015-02-13,2015-02-14 00:32:10 UTC,research,36.987745,-121.4572833333,50,,,50,Mephitis mephitis,Striped Skunk
2015-02-16,,research,34.4048275285,-118.3690343671,27,,,28818,Hypsiglena ochrorhynchus klauberi,San Diego Nightsnake
2015-02-20,2015-02-20 19:47:46 UTC,research,34.116325,-118.3079,,,,,Sciurus griseus,Western Gray Squirrel
2015-02-28,2015-02-28 15:35:14 UTC,research,34.020855,-118.291475,5,,,5,Didelphis virginiana,Virginia Opossum
2015-03-04,2015-03-04 15:36:15 UTC,research,37.963288,-122.201251,239,,,239,Lynx rufus,Bobcat
2015-03-07,2015-03-07 18:20:58 UTC,research,34.0676,-118.6140666667,,,,,Elgaria multicarinata,Southern Alligator Lizard
2015-03-07,2015-03-07 20:24:31 UTC,research,34.0725361667,-118.6067716667,10,,,10,Elgaria multicarinata,Southern Alligator Lizard
2015-03-14,2015-03-14 20:46:43 UTC,research,34.25666,-117.85876,5,,,5,Otospermophilus beecheyi,California Ground Squirrel
2015-03-16,2015-03-16 22:12:32 UTC,research,33.7559048987,-118.2511592217,165,,,28930,Diadophis punctatus modestus,San Bernardino Ringneck Snake
2015-03-14,2015-03-14 21:55:11 UTC,research,33.201985,-116.601895,114,,,114,Meleagris gallopavo,Wild Turkey
2015-03-19,2015-03-19 23:04:27 UTC,research,32.681133,-116.855918,130,,,130,Crotalus oreganus helleri,Southern Pacific Rattlesnake
2015-03-21,,research,32.75587,-116.3502,1,,,1,Pituophis catenifer,Gopher Snake
2015-03-22,,research,32.66525,-116.83596,1,,,1,Pituophis catenifer annectens,San Diego Gopher Snake
2015-03-23,,research,38.431375,-122.752477,8,,,8,Didelphis virginiana,Virginia Opossum
2015-03-23,,research,32.67656,-116.73995,1,,,1,Pituophis catenifer annectens,San Diego Gopher Snake
2015-03-24,2015-03-24 15:30:45 UTC,research,37.832715,-122.509329,45,,,45,Selasphorus sasin,Allen's Hummingbird
